src_ip,window_start,packet_count,unique_dst_ports,avg_packet_size,tcp_count,udp_count,flow_duration
10.205.132.210,2025-12-28 01:14:10,41,11,84.78048780487805,36,5,3.0
10.205.132.38,2025-12-28 01:14:00,1,1,196.0,0,1,0.0
10.205.132.38,2025-12-28 01:14:05,2,2,125.5,1,1,1.0
10.205.132.38,2025-12-28 01:14:10,55,4,69.7090909090909,49,6,3.0
10.205.132.38,2025-12-28 01:14:15,6,2,249.5,5,1,0.0
10.205.132.38,2025-12-28 01:14:20,8,2,291.375,7,1,3.0
10.205.132.38,2025-12-28 01:14:25,2,1,493.5,2,0,0.0
129.227.29.115,2025-12-28 01:14:10,1,1,54.0,1,0,0.0
13.107.6.158,2025-12-28 01:14:10,1,1,70.0,1,0,0.0
13.69.116.105,2025-12-28 01:14:15,5,1,91.8,5,0,0.0
13.69.116.105,2025-12-28 01:14:20,5,1,102.0,5,0,3.0
13.69.116.105,2025-12-28 01:14:25,1,1,90.0,1,0,0.0
184.26.54.208,2025-12-28 01:14:10,5,1,92.2,5,0,0.0
